MPID	Name	Name_in_Burmese	Constituency	Region	Party	Gender	Ethnicity	Religion	DoB	Previous_Occupation	Parliament	Elected_Year	Term_End_Year	MotionID	Date_of_Submission	House	Session	Description	Description_in_Burmese	Issue	Purpose	Status	Date_of_Response	Respondant	Respondant_Position
LWMP-01-0029	Daw Tin Nwe Oo	ဒေါ်တင်နွယ်ဦး	Dagon North Tsp	Yangon	NDF	Female	Bamar	Buddhism	24-Mar-51	Economics	First Pyithu Hluttaw	2010	2015	LWM-01-02-041	27-Sep-11	First Pyithu Hluttaw	Second Regular Session	Formation of national economic support commission	“အ‌ခြေခံဥပဒေသစ်နှင့်အညီ ပြောင်းလဲလာ သည့် နိုင်ငံရေး၊ စီးပွားရေးစနစ်တို့နှင့် လိုက်လျောညီထွေဖြစ်ပြီး အမျိုးသားစီးပွားရေး အထောက်အကူပြု အုပ်ချုပ်ရေးယန္တရားသစ် ဖော်ဆောင်နိုင်ရန် ကျွမ်းကျင်သည့် ပညာရှင်များဖြင့် ကော်မရှင်တစ်ရပ်ကို ဤပြည်သူ့လွှတ်တော်ကဖွဲ့စည်း ဆောင်ရွက်စေသင့်ကြောင်း”အဆို	Finance	Scrutiny	Withdrawn
LWMP-01-0029	Daw Tin Nwe Oo	ဒေါ်တင်နွယ်ဦး	Dagon North Tsp	Yangon	NDF	Female	Bamar	Buddhism	24-Mar-51	Economics	First Pyithu Hluttaw	2010	2015	LWM-01-03-004	15-Feb-12	First Pyithu Hluttaw	Third Regular Session	Prescribing statue law to grant autonomy to universities		Education	Legislation	Rejected	15-Feb-12	Dr Mya Aye	Education Minister
LWMP-01-0029	Daw Tin Nwe Oo	ဒေါ်တင်နွယ်ဦး	Dagon North Tsp	Yangon	NDF	Female	Bamar	Buddhism	24-Mar-51	Economics	First Pyithu Hluttaw	2010	2015	LWM-01-04-014	23-Jul-12	First Pyithu Hluttaw	Fourth Regular Session	Reforming the nation of Industry & factory		Business	Scrutiny	Recorded	31-Jul-12	Dr. Kan Zaw	Deputy National Planning and Economic Development Minister
LWMP-01-0029	Daw Tin Nwe Oo	ဒေါ်တင်နွယ်ဦး	Dagon North Tsp	Yangon	NDF	Female	Bamar	Buddhism	24-Mar-51	Economics	First Pyithu Hluttaw	2010	2015	LWM-01-05-023	23-Nov-12	First Pyithu Hluttaw	Fifth Regular Session	Overseas study tours for Burmese scholars		Human Resource Development	Scrutiny	Approved	23-Nov-12	Dr. Ba Shwe	Deputy Education Minister
LWMP-01-0029	Daw Tin Nwe Oo	ဒေါ်တင်နွယ်ဦး	Dagon North Tsp	Yangon	NDF	Female	Bamar	Buddhism	24-Mar-51	Economics	First Pyithu Hluttaw	2010	2015	LWM-01-08-002	9-Oct-13	First Pyithu Hluttaw	Eight Regular Session	Adding 1954 Marriage and Inharitage Law to Curriculum		Education	Scrutiny	Recorded		Dr.Zaw Min Aung	D M
LWMP-01-0029	Daw Tin Nwe Oo	ဒေါ်တင်နွယ်ဦး	Dagon North Tsp	Yangon	NDF	Female	Bamar	Buddhism	24-Mar-51	Economics	First Pyithu Hluttaw	2010	2015	LWM-01-08-006	11-Nov-13	First Pyithu Hluttaw	Eight Regular Session	Retaxting Fine and Stamp Tax for avioding taxation		Taxation	Scrutiny	Recorded		Dr. Lin Aung	D M
UPMP-01-0100	Daw Yi Yi Myint	ဒေါ်ရီရီမြင့်	Mon State, Constituency (1)	Mon	USDP	Female	Bamar	Buddhism	28-Aug-65	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-02-006	25-Aug-11	First Amyotha Hluttaw	Second Regular Session	Amendment of Myanmar Trademark Law	စီးပွားရေးနှင့်ကူးသန်းရောင်းဝယ်ရေး ဝန်ကြီးဌာနမှ စီမံခန့်ခွဲသော ဥပဒေများမှ ပြင်ဆင်ဖြည့်စွက် ပြဋ္ဌာန်းသင့်သော (က) မြန်မာနိုင်ငံ ကုန်အမှတ်အသား ဥပဒေ (ခ) လယ်ယာထွက်ကုန်စျေးကွက်များအက်ဥပဒေ (ဂ) ၁၉၄၇ခုနှစ် အရေးကြီးသော ကုန်ပစ္စည်းများနှင့် ဆောင်ရွက်မှုများဆိုင်ရာအက်ဥပဒေ (ဃ) တင်း၊ တောင်း၊ စံ ပမာဏ အက်ဥပဒေတို့ကို ပြင်ဆင်ဖြည့်စွက် ပြဋ္ဌာန်းရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်းကြောင်းအဆို	Business	Legislation	Recorded	26-Aug-11	U Win Myint	Deputy Immigration and Population Minister
UPMP-01-0100	Daw Yi Yi Myint	ဒေါ်ရီရီမြင့်	Mon State, Constituency (1)	Mon	USDP	Female	Bamar	Buddhism	28-Aug-65	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-02-007	25-Aug-11	First Amyotha Hluttaw	Second Regular Session	Agricultural Product Markets Act, Staple Products and Undertakings Act, and Basket Standard Measure Act	စီးပွားရေးနှင့်ကူးသန်းရောင်းဝယ်ရေး ဝန်ကြီးဌာနမှ စီမံခန့်ခွဲသော ဥပဒေများမှ ပြင်ဆင်ဖြည့်စွက် ပြဋ္ဌာန်းသင့်သော (က) မြန်မာနိုင်ငံ ကုန်အမှတ်အသား ဥပဒေ (ခ) လယ်ယာထွက်ကုန်စျေးကွက်များအက်ဥပဒေ (ဂ) ၁၉၄၇ခုနှစ် အရေးကြီးသော ကုန်ပစ္စည်းများနှင့် ဆောင်ရွက်မှုများဆိုင်ရာအက်ဥပဒေ (ဃ) တင်း၊ တောင်း၊ စံ ပမာဏ အက်ဥပဒေတို့ကို ပြင်ဆင်ဖြည့်စွက် ပြဋ္ဌာန်းရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်းကြောင်းအဆို	Legislation	Legislation	Recorded	26-Aug-11	U Thein Tun	Communication and Information Technology Minister
UPMP-01-0100	Daw Yi Yi Myint	ဒေါ်ရီရီမြင့်	Mon State, Constituency (1)	Mon	USDP	Female	Bamar	Buddhism	28-Aug-65	Civil Service	First Amyotha Hluttaw	2010	2015	UP-01-02-048	25-Aug-11	First Amyotha Hluttaw	Second Regular Session	Amending laws supervised by Ministry of Communications and Information and Technology	ဆက်သွယ်ရေး၊ စာတိုက်နှင့် ကြေးနန်း ဝန်ကြီးဌာနမှ စီမံခန့်ခွဲသော ဥပဒေများမှ ပြင်ဆင် ဖြည့်စွက် ပြဌာန်း သင့်သော (က)The Myanmar Telegraph Act (1885) (ခ) The Myanmar Post Office Act (1898) (ဂ) The Myanmar Wireless Telegraphy Act (1933) တို့ကို ပြင်ဆင်ဖြည့်စွက် ပြဋ္ဌာန်းရန်နှင့် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်းကြောင်း အဆို	Legislation	Legislation	Recorded	26-Aug-11	U Thein Tun	Communication and Information Technology Minister
LWMP-01-0263	Dr Aung Moe Nyo	ဒေါက်တာအောင်မိုးညို	Pwintphyu Tsp	Magway	NLD	Male	Bamar	Buddhism	24-Nov-57	Civil Service	First Pyithu Hluttaw	2012	2015	LWM-01-06-012	19-Mar-13	First Pyithu Hluttaw	Sixth Regular Session	To sign UN Convention Against Touture and other Cruel, Inhuman or Degrading Treatment or Punishment		Civic Rights	Scrutiny	Approved	19-Mar-13	U Zin Yor +U Tun Yun Oo+U Soe Nyunt+Pol Maj-Gen  Kyaw Kyaw Tun	Deputy Foreign Minister + Deputy Home Minister+Deputy Union Attorney-General+Union Chief Justice
LWMP-01-0077	Dr Chann Nyein	ဒေါက်တာချမ်းငြိမ်း	Kant Balu Tsp	Sagaing	USDP	Male	Bamar	Buddhism	15-Dec-44	Civil Service	First Pyithu Hluttaw	2010	2015	LWM-01-04-018	1-Aug-12	First Pyithu Hluttaw	Fourth Regular Session	Recording History,Culture of Ethnic		Culture	Scrutiny	Recorded	22-Aug-12	U Soe Win	Deputy Informatiom Minister
LWMP-01-0109	Dr Khin Maung Swe	​ဒေါက်တာခင်မောင်ဆွေ	Kyauktaka Tsp	Bago	USDP	Male	Bamar	Buddhism	5-Jun-55	Medicines	First Pyithu Hluttaw	2010	2015	LWM-01-04-025	31-Aug-12	First Pyithu Hluttaw	Fourth Regular Session	To reduce thhe different of the health protection between city and village		Health	Scrutiny
LWMP-01-0109	Dr Khin Maung Swe	​ဒေါက်တာခင်မောင်ဆွေ	Kyauktaka Tsp	Bago	USDP	Male	Bamar	Buddhism	5-Jun-55	Medicines	First Pyithu Hluttaw	2010	2015	LWM-01-05-015	9-Nov-12	First Pyithu Hluttaw	Fifth Regular Session	Helping to reduce the different of the protection of Health between village and city		Health	Scrutiny	Approved	9-Nov-12	Dr Pey Thet Khin	Health Minister
LWMP-01-0109	Dr Khin Maung Swe	​ဒေါက်တာခင်မောင်ဆွေ	Kyauktaka Tsp	Bago	USDP	Male	Bamar	Buddhism	5-Jun-55	Medicines	First Pyithu Hluttaw	2010	2015	LWM-01-10-015	21-Jul-14	First Pyithu Hluttaw	Tenth Regular Session	Solving Agricultural Funds for Farmers		Agriculture	Scrutiny	Recorded	21-Jul-14	U Ohn Than	Deputy Agricultural ang Irrigation Minister
LWMP-01-0217	Dr Mya Oo	ဒေါက်တာမြဦး	Ngan Zun Tsp	Mandalay	USDP	Male	Bamar	Buddhism	28-Feb-48	Civil Service	First Pyithu Hluttaw	2010	2015	LWM-01-05-016	9-Nov-12	First Pyithu Hluttaw	Fifth Regular Session	Prescribing the law of Education		Education	Legislation	Approved	9-Nov-12	U Ba Shwe	Deputy Education Minister
LWMP-01-0157	Dr Pwint Hsan	ဒေါက်တာပွင့်ဆန်း	Mayangone Tsp	Yangon	USDP	Male	Bamar	Buddhism	13-Jul-91	Industry	First Pyithu Hluttaw	2010	2011	LWM-01-01-014	16-Mar-11	First Pyithu Hluttaw	First Regular Session	Drafting the international-standard social welfare bill	“ နိုင်ငံတကာ အဆင့်မီ လူမှုဖူလုံရေးဥပဒေသစ်တစ်ရပ် မူကြမ်းရေးဆွဲ ပြုစုပြီး ဒုတိယအကြိမ် ပြည်သူ့လွှတ်တော် ပုံမှန် အစည်းအဝေးသို့ တင်သွင်းဆွေးနွေးနိုင်ရေးအတွက် လိုအပ်သော အစီအစဉ်များ ပြုလုပ်ပေးပါရန်” အဆို	Social Welfare	Legislation	Approved	21-Mar-11	U Aung Kyi	Labour Minister
UPMP-01-0112	Dr. Aye Maung	ဒေါက်တာအေးမောင်	Rakhine State, Constituency (1)	Rakhine	RNDP	Male	Rakhine	Buddhism	1-Nov-57	Medicines	First Amyotha Hluttaw	2010	2015	CBM-01-01-008	25-Mar-11	First Pyidaungsu Hluttaw	First Regular Session	Giving assistance to the local investor and husbandry workers of chicken when facing the H5N1 virus and destroying their chicken.		Health	Scrutiny	Recorded	28-Mar-11	U Maung Maung Thein	Livestock and Fishery Minister
UPMP-01-0112	Dr. Aye Maung	ဒေါက်တာအေးမောင်	Rakhine State, Constituency (1)	Rakhine	RNDP	Male	Rakhine	Buddhism	1-Nov-57	Medicines	First Amyotha Hluttaw	2010	2015	UP-01-02-042	20-Oct-11	First Amyotha Hluttaw	Second Regular Session	Emoluments of ethnic ministers at Division and State level	တိုင်းရင်းသားရေးရာဝန်ကြီးများအား အခြေခံဥပဒေတွင် ပြဋ္ဌာန်းသည့်အတိုင်း တိုင်းဒေသကြီး/ ပြည်နယ်ဝန်ကြီးများ ခံစားခွင့်များ အတိုင်းတစ်ပြေးညီရရှိစေရန် ပြည်ထောင်စုအစိုးရအား တိုက်တွန်းကြောင်း အဆို	Enthnic	Scrutiny
