Pyithy Hluttaw (Lower House)					
					
No	State/Region Name	Constituency Name	Winning Candidate Name	Party/Independence	Total Vote Counts
31	ကချင်ပြည်နယ်	ဖားကန့်	ဦးတင့်စိုး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၀၃၅၀
32	ကချင်ပြည်နယ်	ရွှေကူ	ဦးဇာနည်မင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၂၀၅၄
33	ကချင်ပြည်နယ်	မချမ်းဘော	ဦးနန်မွန်တင်	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၁၄၃၅
Kayah State 					
34	ကယားပြည်နယ်	လွိုင်ကော်	ဒေါက်တာခင်စည်သူ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၃၃၄၄
35	ကယားပြည်နယ်	ဖရူဆို	ဦးပဲ့ဒူ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၆၃၆၃
36	ကယားပြည်နယ်	ဖားဆောင်း	ဒေါ်နန်းထွေးသူ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၄၇၁
Kayin State					
37	ကရင်ပြည်နယ်	သံတောင်ကြီး	ဦးစောဗစ်တာခလိုက်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၃၂၄၇
Chin State					
38	ချင်းပြည်နယ်	ဟားခါး	ဦးနှီယာအုပ်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၀၆၀၅
39	ချင်းပြည်နယ်	ထန်တလန်	ဒေါ်နီရွှေလျန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၈၇၄၆
Mon State					
40	မွန်ပြည်နယ်	ကျိုက်မရော	ဦးစောကျော်ဝင်းမောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၁၄၄၇
41	မွန်ပြည်နယ်	ပေါင်	ဒေါ်မိကွန်ချမ်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၂၈၃၁
42	မွန်ပြည်နယ်	ကျိုက်ထို	ဒေါက်တာခင်ဆောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၂၁၃၉
43	မွန်ပြည်နယ်	ဘီးလင်း	ဦးတင်ကိုကိုဦး(ခ)အတွတ်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၅၃၄၁
Shan State 					
44	ရှမ်းပြည်နယ်	ပင်းတယ	ဦးစိုးမြင့်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၁၆၃၈
45	ရှမ်းပြည်နယ်	ကျောက်မဲ	ဦးစိုင်းထွန်းအောင်	ရှမ်းတိုင်းရင်းသားများဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ	၃၈၀၅၈
46	ရှမ်းပြည်နယ်	မဘိမ်း	ဦးအောင်မြင့်ရှိန်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၆၄၃၉
47	ရှမ်းပြည်နယ်	မူဆယ်	ဦးစိုင်းဖိုးမြတ်	ရှမ်းတိုင်းရင်းသားများဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ	၂၂၂၉၄
48	ရှမ်းပြည်နယ်	မိုင်းဆတ်	ဦးစိုင်းခတ္တိယ	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၈၈၇၆
49	ရှမ်းပြည်နယ်	မိုင်းတုံ	ဦးအောင်ကျော်ဦး(ခ)ကျော်ဦး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၈၀၄၀
50	ရှမ်းပြည်နယ်	မိုင်းယောင်း	ဦးစိုင်းထွန်းအောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၇၄၇၇
Irrawaddy Region					
