State and Region Parliaments					
					
No.	State/Region Name	Constituency Name and Number	Winning Candidate Name	Party/Independence	Total Vote Counts
30	ကယားပြည်နယ်	လွိုင်ကော် (၂)	ဦးတင်မြင့်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၄၆၄၃
31	ကယားပြည်နယ်	ဖရူဆို (၁)	ဦးသိုးရယ်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၉၈၉
32	ကယားပြည်နယ်	ဖရူဆို (၂)	ဦးခင်မောင်ထွန်း(နော်အီး)	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၇၈၀
33	ကယားပြည်နယ်	ဖားဆောင်း (၁)	ဦးဝင်းမြင့်	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၁၃၁၀
34	ကယားပြည်နယ်	ဖားဆောင်း (၂)	ဦးရန်နိုင်ဆွေ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၄၂၃
35	ကယားပြည်နယ်	မယ်စဲ့ (၁)	ဦးအောင်နိုင်ဦး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၆၅၅
36	ကယားပြည်နယ်	မယ်စဲ့ (၂)	ဦးအယ်လ်ဖောင်းရှို	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၇၂၅
Kayin State					
37	ကရင်ပြည်နယ်	သံတောင်ကြီး (၁)	ဦးစောလှမြင့်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၅၄၈၃
38	ကရင်ပြည်နယ်	သံတောင်ကြီး (၂)	ဦးစောဂျေအေဝင်းမြင့်	ကရင်ပြည်သူ့ပါတီ	၆၇၉၀
Chin State Hluttaw					
39	ချင်းပြည်နယ်	တီးတိန် (၁)	ဦးပူထန်ဒိတ်ခုတ်	ဇိုမီးဒီမိုကရေစီအဖွဲ့ချုပ်	၆၂၇၈
40	ချင်းပြည်နယ်	တီးတိန် (၂)	ဦးဆွန်ဒုတ်ကျင့်	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၄၈၆၆
41	ချင်းပြည်နယ်	ထန်တလန် (၁)	ဦးဗန်ထောင်း	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၄၇၄၄
42	ချင်းပြည်နယ်	ထန်တလန် (၂)	ဒေါက်တာမှုထန်	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၄၉၆၉
Mon State Hluttaw					
43	မွန်ပြည်နယ်	ကျိုက်မရော (၁)	ဒေါ်ခင်မျိုးမြင့်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၂၄၅၁
44	မွန်ပြည်နယ်	ကျိုက်မရော (၂)	ဦးမင်းအောင်မွန်	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၉၁၆၆
45	မွန်ပြည်နယ်	ဘီးလင်း (၁)	ဒေါက်တာခင်နိုင်ဦး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၇၃၇၃
46	မွန်ပြည်နယ်	ဘီးလင်း (၂)	ဦးမင်းမင်းဦး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၉၀၅၆
47	မွန်ပြည်နယ်	ကျိုက်ထို (၁)	ဦးဝဏ္ဏကျော်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၈၈၄၃
48	မွန်ပြည်နယ်	ကျိုက်ထို (၂)	ဒေါက်တာအေးဇံ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၁၁၁၂
Shan State Hluttaw					
49	ရှမ်းပြည်နယ်	ကလော(၁)	ဦးစိုးညွန့်လွင်(ခ)ဦးစိုးကြီး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၄၈၆၃
50	ရှမ်းပြည်နယ်	ကလော(၂)	ဦးသန်းထိုက်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၀၃၇၉
51	ရှမ်းပြည်နယ်	ရွာငံ(၁)	ဦးအေးမင်းစိုး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၀၀၅၃
52	ရှမ်းပြည်နယ်	ရွာငံ(၂)	ဦးစဝ်အောင်မြတ်(ခ)ဦးအောင်မြတ်	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၁၁၀၀၀
53	ရှမ်းပြည်နယ်	လဲချား(၁)	ဦးစိုင်းကျော်ဇေယျ(ခ)စိုင်းယဉ်	ရှမ်းတိုင်းရင်းသားများဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ	၆၀၁၉
54	ရှမ်းပြည်နယ်	လဲချား(၂)	ဦးစိုင်းထွန်းအောင်	ရှမ်းတိုင်းရင်းသားများဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ	၇၀၈၁
55	ရှမ်းပြည်နယ်	လင်းခေး(၁)	ဦးစိုင်းအောင်မျိုးကျော်	ရှမ်းတိုင်းရင်းသားများဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ	၄၁၈၄
56	ရှမ်းပြည်နယ်	လင်းခေး(၂)	ဦးစိုင်းလုံ	ရှမ်းတိုင်းရင်းသားများဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ	၃၉၁၄
57	ရှမ်းပြည်နယ်	နောင်ချို(၁)	ဦးမြင့်ဆွေ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၉၉၆၅
58	ရှမ်းပြည်နယ်	နောင်ချို(၂)	ဒေါက်တာညီညီအောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၁၈၇၇
59	ရှမ်းပြည်နယ်	လောက်ကိုင်(၁)	ဦးအောင်သန်းထွဋ်	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၄၃၅၆
60	ရှမ်းပြည်နယ်	လောက်ကိုင်(၂)	ဦးဘေရင်နယ်(ခ)ခင်မောင်လွင်	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၂၈၇၉
61	ရှမ်းပြည်နယ်	ပင်းတယ (၁)	ဦးအာကာလင်း	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၁၁၅၉၂
62	ရှမ်းပြည်နယ်	ပင်းတယ (၂)	ဦးညီညီ (ခ) ဦးညီလေးချမ်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၂၀၈၄
63	ရှမ်းပြည်နယ်	မဘိမ်း (၁)	ဦးမောင်ညို	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၆၄၄၅
