State and Region Parliaments					
					
No.	State/Region Name	Constituency Name and Number	Winning Candidate Name	Party/Independence	Total Vote Counts
135	မန္တလေးတိုင်းဒေသကြီး	ပြင်ဦးလွင် (၁)	ဦးအောင်မင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၅၅၄၆
136	မန္တလေးတိုင်းဒေသကြီး	ပြင်ဦးလွင် (၂)	ဒေါက်တာခင်မောင်ဌေး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၃၁၅၃
137	မန္တလေးတိုင်းဒေသကြီး	မြစ်သား (၁)	ဦးမင်းအောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၄၈၇၅
138	မန္တလေးတိုင်းဒေသကြီး	မြစ်သား (၂)	ဒေါ်သင်းမြမြသင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၂၈၅၆
139	မန္တလေးတိုင်းဒေသကြီး	နွားထိုးကြီး (၁)	ဒေါ်ငြိမ်းသက်နွယ်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၂၀၇၂
140	မန္တလေးတိုင်းဒေသကြီး	နွားထိုးကြီး (၂)	ဦးစိန်ကျော်မိုး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၇၂၄၁
141	မန္တလေးတိုင်းဒေသကြီး	ပျော်ဘွယ် (၁)	ဦးတင်စိုး	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၄၅၅၂၁
142	မန္တလေးတိုင်းဒေသကြီး	ပျော်ဘွယ် (၂)	ဦးမြင့်စိုး	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၃၉၁၂၈
Irrawaddy Region Hluttaw					
143	ဧရာဝတီတိုင်းဒေသကြီး	ကန်ကြီးထောင့်(၁)	ဦးစိုးမိုးထွန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၆၉၉၁
144	ဧရာဝတီတိုင်းဒေသကြီး	ကန်ကြီးထောင့်(၂)	ဒေါ်ခင်စောမူ	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၂၀၇၄၂
145	ဧရာဝတီတိုင်းဒေသကြီး	သာပေါင်း(၁)	ဒေါ်ခင်မိုးဝါ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၃၄၀၁
146	ဧရာဝတီတိုင်းဒေသကြီး	သာပေါင်း(၂)	ဦးအောင်အောင်ဦး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၈၅၅၉
147	ဧရာဝတီတိုင်းဒေသကြီး	ကျုံပျော်(၁)	ဒေါ်သီတာ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၄၀၇၄
148	ဧရာဝတီတိုင်းဒေသကြီး	ကျုံပျော်(၂)	ဦးမန်းဂျော်နီ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၇၀၁၃
149	ဧရာဝတီတိုင်းဒေသကြီး	ရေကြည်(၁)	ဦးမျိုးညွန့်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၅၃၀၄
150	ဧရာဝတီတိုင်းဒေသကြီး	ရေကြည်(၂)	ဒေါက်တာလှမြတ်သွေး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၂၄၆၂
151	ဧရာဝတီတိုင်းဒေသကြီး	မြန်အောင်(၁)	ဦးလှမိုးအောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၇၁၂၄
152	ဧရာဝတီတိုင်းဒေသကြီး	မြန်အောင်(၂)	ဒေါ်စုစုအောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၈၈၅၄
153	ဧရာဝတီတိုင်းဒေသကြီး	ကျိုက်လတ်(၁)	ဦးကျော်ဇေယျ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၅၉၄၄
154	ဧရာဝတီတိုင်းဒေသကြီး	ကျိုက်လတ်(၂)	ဦးဝင်းလှိုင်(ခ)ဦးညို	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၆၈၇၀
155	ဧရာဝတီတိုင်းဒေသကြီး	ဒေးဒရဲ(၁)	ဦးသန်းလွင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၈၁၀၄
156	ဧရာဝတီတိုင်းဒေသကြီး	ဒေးဒရဲ(၂)	ဦးခင်ဝင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၄၃၄၇
157	ဧရာဝတီတိုင်းဒေသကြီး	ဖျာပုံ (၁)	ဦးဇေယျာမင်းသိန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၁၀၂၇
158	ဧရာဝတီတိုင်းဒေသကြီး	ဖျာပုံ (၂)	ဦးဘိုဘိုမင်းဇော်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၃၃၇၉
159	ဧရာဝတီတိုင်းဒေသကြီး	ဟင်္သာတ (၁)	ဦးကျော်စိုး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၅၉၉၀၁
160	ဧရာဝတီတိုင်းဒေသကြီး	ဟင်္သာတ (၂)	ဦးအောင်ကိုကိုဦး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၅၇၃၄၆
161	ဧရာဝတီတိုင်းဒေသကြီး	အိမ်မဲ (၁)	ဒေါ်ရီရီထွန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၆၈၅၅
162	ဧရာဝတီတိုင်းဒေသကြီး	အိမ်မဲ (၂)	ဦးအောင်ကျော်မြိုင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၃၆၇၈
163	ဧရာဝတီတိုင်းဒေသကြီး	ပန်းတနော် (၁)	ဦးစန်းမောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၆၈၁၇
164	ဧရာဝတီတိုင်းဒေသကြီး	ပန်းတနော် (၂)	ဦးသန့်ဇင်ထွန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၉၇၆၃
165	ဧရာဝတီတိုင်းဒေသကြီး	ဓနုဖြူ (၁)	ဦးအောင်နိုင်ထွန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၀၅၆၇
166	ဧရာဝတီတိုင်းဒေသကြီး	ဓနုဖြူ (၂)	ဦးစန်းထွေး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၂၇၃၀
167	ဧရာဝတီတိုင်းဒေသကြီး	ဘိုကလေး (၁)	ဦးခင်ဘို (ခ) အောင်ခင်ဗိုလ်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၂၀၀၇
168	ဧရာဝတီတိုင်းဒေသကြီး	ဘိုကလေး (၂)	ဦးစံမင်းအောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၃၃၈၉
