Pyithy Hluttaw (Lower House)					
					
No	State/Region Name	Constituency Name	Winning Candidate Name	Party/Independence	Total Vote Counts
31	မန္တလေးတိုင်းဒေသကြီး	မိတ္ထီလာ	ဒေါက်တာမောင်သင်း	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့် ဖွံ့ဖြိုးရေးပါတီ	၉၆၃၁၄
32	မန္တလေးတိုင်းဒေသကြီး	မလှိုင်	ဦးလှထွန်းအောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၁၆၇၄
33	မန္တလေးတိုင်းဒေသကြီး	မဟာအောင်မြေ	ဦးငြိမ်းသစ်(ခ)ဦးသောင်းထွန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၉၃၁၇၄
34	မန္တလေးတိုင်းဒေသကြီး	ပြည်ကြီးတံခွန်	ဦးကျော်စိုးလင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၆၃၈၄၉
35	မန္တလေးတိုင်းဒေသကြီး	တံတားဦး	ဒေါ်စိုးနွယ်အေး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၉၅၅၉
36	မန္တလေးတိုင်းဒေသကြီး	ကျောက်ပန်းတောင်း	ဦးရွှေကို	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၉၆၂၂၃
37	မန္တလေးတိုင်းဒေသကြီး	ဝမ်းတွင်း	ဦးခင်မောင်စိုး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၇၄၉၇၄
38	မန္တလေးတိုင်းဒေသကြီး	ပုသိမ်ကြီး	ဦးသောင်းဌေးလင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၇၁၆၄၁
Bago Region					
39	ပဲခူးတိုင်းဒေသကြီး	ရွှေတောင်	ဒေါ်မြခွာညိုဦး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၅၃၅၈၉
40	ပဲခူးတိုင်းဒေသကြီး	သာယာဝတီ	ဦးအောင်မြင့်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၃၂၇၄
Kachin State 					
41	ကချင်ပြည်နယ်	အင်ဂျန်းယန်	ဦးလမာနော်အောင်	ကချင်ပြည်နယ်ဒီမိုကရေစီပါတီ	၄၃၉
Kayah State 					
42	ကယားပြည်နယ်	ဘောလခဲ	ဦးအေးမောင်	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၂၇၄၃
43	ကယားပြည်နယ်	မယ်စဲ့	ဦးသန်းလင်းလင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၆၁၆
44	ကယားပြည်နယ်	ဒီးမော့ဆို	ဦးပေါလ်ဆိုင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၉၆၃၁
45	ကယားပြည်နယ်	ရှားတော	ဒေါ်ဝင့်ဝါထွန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၅၇၅
Chin State					
46	ချင်းပြည်နယ်	တီးတိန်	ဦးကျင့်ရှင်းထန်	ဇိုမီးဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ	၁၄၉၆၇
Mon State					
47	မွန်ပြည်နယ်	သံဖြူဇရပ်	ဦးဉာဏ်ဟိန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၃၈၈၉
48	မွန်ပြည်နယ်	မုဒုံ	ဦးစောထွန်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၈၆၆၃
49	မွန်ပြည်နယ်	မော်လမြိုင်	ဦးနိုင်သောင်းညွန့်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၇၅၁၅၁
50	မွန်ပြည်နယ်	ချောင်းဆုံ	ဒေါ်ခင်ဌေးကြွယ်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၃၅၈၀
Shan State 					
51	ရှမ်းပြည်နယ်	ဟိုပန်	ဦးကျင်ဝမ်း	“ဝ”ဒီမိုကရက်တစ်ပါတီ	၆၀၃၉
52	ရှမ်းပြည်နယ်	မိုင်းယန်း	ဦးစိုင်းဆမ်	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၂၁၁၃
53	ရှမ်းပြည်နယ်	ကလော	ဒေါ်ပြုံးကေသီနိုင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၆၅၃၇
