State and Region Parliaments					
					
No.	State/Region Name	Constituency Name and Number	Winning Candidate Name	Party/Independence	Total Vote Counts
31	ရန်ကုန်တိုင်းဒေသကြီး	ကွမ်းခြံကုန်း (၁)	ဦးမန်းအောင်ကိုမင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၂၇၉၂
32	ရန်ကုန်တိုင်းဒေသကြီး	ကွမ်းခြံကုန်း (၂)	ဦးအောင်မင်းမင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၁၀၉၅
33	ရန်ကုန်တိုင်းဒေသကြီး	စမ်းချောင်း (၁)	ဦးအောင်မျိုး	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၇၈၄၅
34	ရန်ကုန်တိုင်းဒေသကြီး	စမ်းချောင်း (၂)	ဦးသော်တာအောင်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၂၀၃၀၆
35	ရန်ကုန်တိုင်းဒေသကြီး	ဗဟန်း (၁)	ဦးအောင်မြတ်ကျော်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၇၄၂၀
36	ရန်ကုန်တိုင်းဒေသကြီး	ဗဟန်း (၂)	ဦးသောင်းထွဋ်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၆၅၇၂
Kachin State Hluttaw					
37	ကချင်ပြည်နယ်	အင်ဂျန်းယန် (၁)	ဦးဇော်မိုးနော်	ကချင်ပြည်နယ်ဒီမိုကရေစီပါတီ	၂၁၃
38	ကချင်ပြည်နယ်	အင်ဂျန်းယန် (၂)	ဒေါ်ဂျာဆိုင်းခေါန်	ကချင်ပြည်နယ်ဒီမိုကရေစီပါတီ	၂၀၃
Kayah State Hluttaw					
39	ကယားပြည်နယ်	ဘောလခဲ (၁)	ဦးအေးရွှေ	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၁၄၆၃
40	ကယားပြည်နယ်	ဘောလခဲ (၂)	ဦးစိုးရယ်	ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ	၉၃၉
Mon State Hluttaw					
41	မွန်ပြည်နယ်	မော်လမြိုင် (၁)	ဦးမင်းထင်အောင်ဟန်	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၄၀၃၉၁
42	မွန်ပြည်နယ်	မော်လမြိုင် (၂)	ဒေါက်တာထိန်လင်း	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၃၃၈၈၅
43	မွန်ပြည်နယ်	သံဖြူဇရပ် (၁)	ဒေါ်တင်အိ	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်	၁၄၃၄၅
