MPID	Name	Name_in_Burmese	Constituency	ConstituencyNumber	Region	RegionBurmese	Party	Gender	Ethnicity	Religion	DoB	Previous_Occupation	Parliament	Elected_Year	Term_End_Year
UPMP-01-0112	Dr. Aye Maung	ဒေါက်တာအေးမောင်	Rakhine State, Constituency (1)	1	Rakhine	ရခိုင်ပြည်နယ်	RNDP	Male	Rakhine	Buddhism	1-Nov-57	Medicines	First Amyotha Hluttaw	2010	2015
UPMP-01-0113	U Ohn Tin	ဦးအုန်းတင်	Rakhine State, Constituency (10)	10	Rakhine	ရခိုင်ပြည်နယ်	RNDP	Male	Rakhine	Buddhism	14-Oct-44	Law	First Amyotha Hluttaw	2010	2015
UPMP-01-0114	U Nyo Tun	ဦးညိုထွန်း	Rakhine State, Constituency (11)	11	Rakhine	ရခိုင်ပြည်နယ်	USDP	Male	Rakhine	Buddhism	13-Apr-50	Education	First Amyotha Hluttaw	2010	2015
UPMP-01-0115	U Myint Hlaing	ဦးမြင့်လှိုင်	Rakhine State, Constituency (12)	12	Rakhine	ရခိုင်ပြည်နယ်	USDP	Male	Rakhine	Buddhism	28-Dec-43	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0116	U Kyaw Kyaw	ဦးကျော်ကျော်	Rakhine State, Constituency (2)	2	Rakhine	ရခိုင်ပြည်နယ်	RNDP	Male	Rakhine	Buddhism	8-Jul-50	Education	First Amyotha Hluttaw	2010	2015
UPMP-01-0117	U Khin Maung (a) U Aung Kyaw Oo	ဦးခင်မောင် (ခ) ဦးအောင်ကျော်ဦး	Rakhine State, Constituency (3)	3	Rakhine	ရခိုင်ပြည်နယ်	RNDP	Male	Rakhine	Buddhism	16-Sep-46	Tourism	First Amyotha Hluttaw	2010	2015
UPMP-01-0118	U Maung Saw Phyu	ဦးမောင်စောဖြူ	Rakhine State, Constituency (4)	4	Rakhine	ရခိုင်ပြည်နယ်	RNDP	Male	Rakhine	Buddhism	23-Jul-40	Education	First Amyotha Hluttaw	2010	2015
UPMP-01-0119	U Kyaw Tun Aung	ဦးကျော်ထွန်းအောင်	Rakhine State, Constituency (5)	5	Rakhine	ရခိုင်ပြည်နယ်	RNDP	Male	Rakhine	Buddhism	8-Apr-43	Law	First Amyotha Hluttaw	2010	2015
UPMP-01-0120	U Khin Maung Latt	ဦးခင်မောင်လတ်	Rakhine State, Constituency (6)	6	Rakhine	ရခိုင်ပြည်နယ်	RNDP	Male	Rakhine	Buddhism	17-Nov-53	Media	First Amyotha Hluttaw	2010	2015
UPMP-01-0121	U Htay Win (a) U Zar Yad Raw Min	ဦးဌေးဝင်း (ခ) ဦးဇာယာ့ဒ်ရော်မင်း	Rakhine State, Constituency (7)	7	Rakhine	ရခိုင်ပြည်နယ်	USDP	Male	Bamar	Islamism	3-Apr-62	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0122	U Maung Thar Khin	ဦးမောင်သာခင်	Rakhine State, Constituency (8)	8	Rakhine	ရခိုင်ပြည်နယ်	USDP	Male	Rakhine	Buddhism	12-Mar-46	Education	First Amyotha Hluttaw	2010	2015
UPMP-01-0123	U Maung Aye Tun	ဦးမောင်အေးထွန်း	Rakhine State, Constituency (9)	9	Rakhine	ရခိုင်ပြည်နယ်	USDP	Male	Rakhine	Buddhism	17-Nov-51	Law	First Amyotha Hluttaw	2010	2015
UPMP-01-0124	U Khin Maung Aye	ဦးခင်မောင်အေး	Sagaing Region, Constituency (7)	7	Sagaing	စစ်ကိုင်းတိုင်းဒေသကြီး	USDP	Male	N/A	N/A	N/A		First Amyotha Hluttaw	2010	2011
UPMP-01-0125	U Win Tin	ဦးဝင်းတင်	Sagaing Region, Constituency (1)	1	Sagaing	စစ်ကိုင်းတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	2-Dec-59	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0126	U Maung Maung Gyi (a) U Tin Tun	ဦးမောင်မောင်ကြီး (ခ) ဦးတင်ထွန်း	Sagaing Region, Constituency (10)	10	Sagaing	စစ်ကိုင်းတိုင်းဒေသကြီး	NUP	Male	Bamar	Buddhism	5-Jan-34	Civil Service	First Amyotha Hluttaw	2010	2015
UPMP-01-0127	U Aung Chit Lwin	ဦးအောင်ချစ်လွင်	Sagaing Region, Constituency (11)	11	Sagaing	စစ်ကိုင်းတိုင်းဒေသကြီး	USDP	Male	Chin/Shan	Buddhism	28-Jul-63	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0128	U Myat Ko	ဦးမြတ်ကို	Sagaing Region, Constituency (12)	12	Sagaing	စစ်ကိုင်းတိုင်းဒေသကြီး	USDP	Male	Narga	Buddhism	22-Sep-66	Others	First Amyotha Hluttaw	2010	2015
UPMP-01-0129	Dr. Bo Kyi (a) U Aung Ngwe	ဒေါက်တာဘိုကြည် (ခ) ဦးအောင်ငွေ	Sagaing Region, Constituency (2)	2	Sagaing	စစ်ကိုင်းတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	4-Jun-56	Civil Service	First Amyotha Hluttaw	2010	2012
UPMP-01-0130	Dr. Myint Naing	ဒေါက်တာမြင့်နိုင်	Sagaing Region, Constituency (3)	3	Sagaing	စစ်ကိုင်းတိုင်းဒေသကြီး	NLD	Male	Bamar	Buddhism	6-Oct-51	Medicines	First Amyotha Hluttaw	2012	2015
UPMP-01-0131	Wunna Kyaw Htin U Win Myint	ဝဏ္ဏကျော်ထင်ဦးဝင်းမြင့်	Sagaing Region, Constituency (3)	3	Sagaing	စစ်ကိုင်းတိုင်းဒေသကြီး	USDP	Male	N/A	N/A	N/A		First Amyotha Hluttaw	2010	2011
UPMP-01-0132	Dr. Win Myint Aung	ဒေါက်တာဝင်းမြင့်အောင်	Sagaing Region, Constituency (4)	4	Sagaing	စစ်ကိုင်းတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	28-Nov-56	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0133	U Kan Nyunt	ဦးကံညွှန့် 	Sagaing Region, Constituency (5)	5	Sagaing	စစ်ကိုင်းတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	23-Dec-48	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0134	U Tun Myint	ဦးထွန်းမြင့်	Sagaing Region, Constituency (6)	6	Sagaing	စစ်ကိုင်းတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	7-Apr-51	Civil Service	First Amyotha Hluttaw	2010	2015
UPMP-01-0135	U Tin Mya	ဦးတင်မြ	Sagaing Region, Constituency (7)	7	Sagaing	စစ်ကိုင်းတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	31-Jul-47	Law	First Amyotha Hluttaw	2012	2015
UPMP-01-0136	U Thein Hlaing	ဦးသိန်းလှိုင်	Sagaing Region, Constituency (8)	8	Sagaing	စစ်ကိုင်းတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	21-Apr-54	Civil Service	First Amyotha Hluttaw	2010	2015
UPMP-01-0137	U Thein Win	ဦးသိန်းဝင်း	Sagaing Region, Constituency (9)	9	Sagaing	စစ်ကိုင်းတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	24-Nov-50	Civil Service	First Amyotha Hluttaw	2010	2015
UPMP-01-0138	U Nyan Linn	ဦးဉာဏ်လင်း	Shan State, Constituency (1)	1	Shan	ရှမ်းပြည်နယ်	USDP	Male	Bamar	Buddhism	19-Nov-63	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0139	U Tun Kyaw (a) U Aik Kyaw	ဦးထွန်းကျော်	Shan State, Constituency (10)	10	Shan	ရှမ်းပြည်နယ်	TPNP	Male	Pa Laung	Buddhism	10-Sep-49	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0140	U Lieu Kwe Shi	ဦးလီခဲရှီး	Shan State, Constituency (11)	11	Shan	ရှမ်းပြည်နယ်	USDP	Male	Kokant	Buddhism	19-Mar-45	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0141	U Sai Pao Nat	ဦးစိုင်းပေါင်နက်	Shan State, Constituency (12)	12	Shan	ရှမ်းပြည်နယ်	WDP	Male	Wa	Christianity	10-Dec-51	Law	First Amyotha Hluttaw	2010	2015
UPMP-01-0142	U Sai Kyaw Zaw Than	ဦးစိုင်းကျော်ဇော်သန်း	Shan State, Constituency (2)	2	Shan	ရှမ်းပြည်နယ်	SNDP	Male	Shan	Buddhism	22-Dec-49	Civil Service	First Amyotha Hluttaw	2010	2015
UPMP-01-0143	Dr. Sai Mauk Kham (a) Maung Ohn	ဒေါက်တာစိုင်းမောက်ခမ်း (ခ) မောင်အုန်း	Shan State, Constituency (3)	3	Shan	ရှမ်းပြည်နယ်	USDP	Male	N/A	Buddhism	N/A		First Amyotha Hluttaw	2010	2011
UPMP-01-0144	U Sai San Min	ဦးစိုင်းစံမင်း	Shan State, Constituency (3)	3	Shan	ရှမ်းပြည်နယ်	SNDP	Male	Shan	Buddhism	14-Apr-59	Business	First Amyotha Hluttaw	2012	2015
UPMP-01-0145	U Sai Thant Zin	ဦးစိုင်းသန့်ဇင်	Shan State, Constituency (4)	4	Shan	ရှမ်းပြည်နယ်	SNDP	Male	Shan	Buddhism	13-Aug-65	Education	First Amyotha Hluttaw	2010	2015
UPMP-01-0146	U Sai Win Maung	ဦးစိုင်းဝင်းမောင်	Shan State, Constituency (5)	5	Shan	ရှမ်းပြည်နယ်	USDP	Male	Shan	Buddhism	1-Jan-47	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0147	U Sai Hsai Kyaun Sam	ဦးစိုင်းဆိုင်ကျောက်ဆမ်	Shan State, Constituency (6)	6	Shan	ရှမ်းပြည်နယ်	USDP	Male	Shan	Buddhism	22-Oct-51	Medicines	First Amyotha Hluttaw	2010	2015
UPMP-01-0148	U Wilson Moe	ဦးဝီလ်ဆင်မိုး	Shan State, Constituency (7)	7	Shan	ရှမ်းပြည်နယ်	USDP	Male	Shan	Buddhism	2-Oct-75	Agriculture	First Amyotha Hluttaw	2010	2015
UPMP-01-0149	U Shu Maung	ဦးရှုမောင်	Shan State, Constituency (8)	8	Shan	ရှမ်းပြည်နယ်	USDP	Male	Danu	Buddhism	9-Apr-51	Tourism	First Amyotha Hluttaw	2010	2015
UPMP-01-0150	U Nay Win Tun (a) U Nay Win Swe	ဦးနေဝင်းထွန်း (ခ) ဦးနေဝင်းဆွေ	Shan State, Constituency (9)	9	Shan	ရှမ်းပြည်နယ်	PNOP	Male	Pao	Buddhism	7-Apr-60	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0151	U Soe Thet	ဦးစိုးသက်	Tanintharyi Region, Constituency (1)	1	Taninthayi	တနင်္သာရီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	4-Jan-55	Military	First Amyotha Hluttaw	2010	2015
UPMP-01-0152	U Than Myint	ဦးသန်းမြင့်	Tanintharyi Region, Constituency (10)	10	Taninthayi	တနင်္သာရီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	8-Apr-53	Civil Service	First Amyotha Hluttaw	2010	2015
UPMP-01-0153	U Hla Aye	ဦးလှအေး	Tanintharyi Region, Constituency (11)	11	Taninthayi	တနင်္သာရီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	12-Aug-55	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0154	U Toe Win	ဦးတိုးဝင်း	Tanintharyi Region, Constituency (12)	12	Taninthayi	တနင်္သာရီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	14-Aug-61	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0155	U Than Swe	ဦးသန်းဆွေ	Tanintharyi Region, Constituency (2)	2	Taninthayi	တနင်္သာရီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	28-Nov-42	Law	First Amyotha Hluttaw	2010	2012
UPMP-01-0156	U Tin Maung Myint	ဦးတင်မောင်မြင့်	Tanintharyi Region, Constituency (3)	3	Taninthayi	တနင်္သာရီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	25-Apr-51	Education	First Amyotha Hluttaw	2010	2015
UPMP-01-0157	U Aung Win	ဦးအောင်ဝင်း	Tanintharyi Region, Constituency (4)	4	Taninthayi	တနင်္သာရီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	30-Nov-59	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0158	U Maung Sein	ဦးမောင်စိန်	Tanintharyi Region, Constituency (5)	5	Taninthayi	တနင်္သာရီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	22-Aug-51	Civil Service	First Amyotha Hluttaw	2010	2015
UPMP-01-0159	U Tin Shein	ဦးတင်ရှိန်	Tanintharyi Region, Constituency (6)	6	Taninthayi	တနင်္သာရီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	19-Jun-54	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0160	U Moe Myint	ဦးမိုးမြင့်	Tanintharyi Region, Constituency (7)	7	Taninthayi	တနင်္သာရီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	14-Dec-61	Civil Service	First Amyotha Hluttaw	2010	2015
UPMP-01-0161	U Maung Kyar (a) U Kyar Maung	ဦးမောင်ကျား (ခ) ဦးကျားမောင်	Tanintharyi Region, Constituency (8)	8	Taninthayi	တနင်္သာရီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	9-Sep-44	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0162	U Hla Soe (a) U Soe Soe	ဦးလှစိုး (ခ) ဦးစိုးစိုး	Tanintharyi Region, Constituency (9)	9	Taninthayi	တနင်္သာရီတိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	22-Feb-56	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0163	Daw Khin Wine Kyi	ဒေါ်ခင်ဝိုင်းကြည်	Yangon Region, Constituency (1)	1	Yangon	ရန်ကုန်တိုင်းဒေသကြီး	NDF	Female	Bamar	Buddhism	9-Feb-47	Civil Service	First Amyotha Hluttaw	2010	2015
UPMP-01-0164	U Nu	ဦးနု	Yangon Region, Constituency (10)	10	Yangon	ရန်ကုန်တိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	9-Nov-43	Civil Service	First Amyotha Hluttaw	2010	2015
UPMP-01-0165	U Tin Yu	ဦးတင်ယု	Yangon Region, Constituency (11)	11	Yangon	ရန်ကုန်တိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	9-Feb-57	Law	First Amyotha Hluttaw	2010	2015
UPMP-01-0166	U Swe Aung	ဦးဆွေအောင်	Yangon Region, Constituency (12)	12	Yangon	ရန်ကုန်တိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	18-Apr-51	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0167	U Nyunt Tin	ဦးညွှန့်တင်	Yangon Region, Constituency (2)	2	Yangon	ရန်ကုန်တိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	3-Jan-45	Civil Service	First Amyotha Hluttaw	2010	2015
UPMP-01-0168	U Phone Myint Aung	ဦးဖုန်းမြင့်အောင်	Yangon Region, Constituency (3)	3	Yangon	ရန်ကုန်တိုင်းဒေသကြီး	NDF	Male	Bamar	Buddhism	21-Apr-64	Engineering	First Amyotha Hluttaw	2010	2015
UPMP-01-0169	Dr. Myat Nyana Soe	ဒေါက်တာမြတ်ဉာဏစိုး	Yangon Region, Constituency (4)	4	Yangon	ရန်ကုန်တိုင်းဒေသကြီး	NDF	Male	Bamar	Buddhism	22-Oct-74	Medicines	First Amyotha Hluttaw	2010	2015
UPMP-01-0170	U Win Naung	ဦးဝင်းနောင်	Yangon Region, Constituency (5)	5	Yangon	ရန်ကုန်တိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	1-Nov-48	Military	First Amyotha Hluttaw	2010	2015
UPMP-01-0171	Dr. Tin Shwe (a) U Tin Shwe	ဒေါက်တာတင်ရွှေ (ခ) ဦးတင်ရွှေ	Yangon Region, Constituency (6)	6	Yangon	ရန်ကုန်တိုင်းဒေသကြီး	NDF	Male	Bamar	Buddhism		Medicines	First Amyotha Hluttaw	2010	2015
UPMP-01-0172	U Mya Nyein	ဦးမြငြိမ်း	Yangon Region, Constituency (7)	7	Yangon	ရန်ကုန်တိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	18-Sep-46	Civil Service	First Amyotha Hluttaw	2010	2015
UPMP-01-0173	Dr. Myint Kyi	ဒေါက်တာမြင့််ကြည်	Yangon Region, Constituency (8)	8	Yangon	ရန်ကုန်တိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	1-Jun-47	Civil Service	First Amyotha Hluttaw	2010	2015
UPMP-01-0174	Dr. Khin Shwe	ဒေါက်တာခင်ရွှေ	Yangon Region, Constituency (9)	9	Yangon	ရန်ကုန်တိုင်းဒေသကြီး	USDP	Male	Bamar	Buddhism	21-Jan-55	Business	First Amyotha Hluttaw	2010	2015
UPMP-01-0175	Brig. General Kyaw Oo Lwin	ဗိုလ်မှူးချုပ်ကျော်ဦးလွင်					Military	Male	Bamar	Buddhism	30-Oct-55		First Amyotha Hluttaw	2010	2015
UPMP-01-0176	Brig. General Aung San Chit	ဗိုလ်မှူးချုပ်အောင်ဆန်းချစ်					Military	Male	Bamar	Buddhism	1-Jan-61		First Amyotha Hluttaw	2010	2015
UPMP-01-0177	Brig. General Myat Kyaw	ဗိုလ်မှူးချုပ်မြတ်ကျော်					Military	Male	Bamar	Buddhism	30-Nov-61		First Amyotha Hluttaw	2010	2015
UPMP-01-0178	Brig. General Min Thein Zan	ဗိုလ်မှူးချုပ်မင်းသိန်းဇံ					Military	Male	Rakhine	Buddhism	1-Apr-59		First Amyotha Hluttaw	2010	2013
UPMP-01-0179	Colonel Aung Khin Zaw	ဗိုလ်မှူးကြီးအောင်ခင်ဇော်					Military	Male	Bamar	Buddhism	14-Jul-63		First Amyotha Hluttaw	2010	2015
UPMP-01-0180	Colonel Maung Maung Htoo	ဗိုလ်မှူးကြီးမောင်မောင်ထူး					Military	Male	Bamar	Buddhism	13-Apr-61		First Amyotha Hluttaw	2010	2015
UPMP-01-0181	Colonel Khin Soe	ဗိုလ်မှူးကြီးခင်စိုး					Military	Male	Bamar	Buddhism	15-Jun-59		First Amyotha Hluttaw	2010	2015
UPMP-01-0182	Colonel Nay Myo Aung	ဗိုလ်မှူးကြီးနေမျိုးအောင်					Military	Male	Bamar	Buddhism	14-Apr-65		First Amyotha Hluttaw	2010	2015
UPMP-01-0183	Colonel Aung Kyaw	ဗိုလ်မှူးကြီးအောင်ကျော်					Military	Male	Bamar	Buddhism	2-Jul-63		First Amyotha Hluttaw	2010	2015
UPMP-01-0184	Colonel Thet Tun Aung	ဗိုလ်မှူးကြီးသက်ထွန်းအောင်					Military	Male	Bamar	Buddhism	11-Oct-63		First Amyotha Hluttaw	2010	2015
UPMP-01-0185	Colonel Hla Win Aung	ဗိုလ်မှူးကြီးလှဝင်းအောင်					Military	Male	Bamar	Buddhism	10-Nov-63		First Amyotha Hluttaw	2010	2015
UPMP-01-0186	Colonel Win Lwin Oo	ဗိုလ်မှူးကြီးဝင်းလွင်ဦး					Military	Male	N/A	N/A	N/A		First Amyotha Hluttaw	2013	2015
UPMP-01-0187	Lt. Colonel Zaw Than Htike	ဒုဗိုလ်မှူးကြီးဇော်သန်းထိုက်					Military	Male	Bamar	Buddhism	8-Dec-67		First Amyotha Hluttaw	2010	2015
UPMP-01-0188	Lt. Colonel Hlaing Win	ဒုဗိုလ်မှူးကြီးလှိုင်ဝင်း					Military	Male	Bamar	Buddhism	23-Feb-72		First Amyotha Hluttaw	2010	2015
UPMP-01-0189	Lt. Colonel Soe Lin	ဒုဗိုလ်မှူးကြီးစိုးလင်း					Military	Male	Bamar	Buddhism	23-Mar-64		First Amyotha Hluttaw	2010	2015
UPMP-01-0190	Lt. Colonel Kyaw Kyaw Htoo	ဒုဗိုလ်မှူးကြီးကျော်ကျော်ထူး					Military	Male	Bamar	Buddhism	4-Jan-71		First Amyotha Hluttaw	2010	2015
UPMP-01-0191	Lt. Colonel Kyaw Soe Oo	ဒုဗိုလ်မှူးကြီးကျော်စိုးဦး					Military	Male	Kayin	Buddhism	18-Sep-72		First Amyotha Hluttaw	2010	2015
UPMP-01-0192	Lt. Colonel Ye Naing Oo	ဒုဗိုလ်မှူးကြီးရဲနိုင်ဦး					Military	Male	Bamar	Buddhism	4-Aug-71		First Amyotha Hluttaw	2010	2015
UPMP-01-0193	Lt. Colonel Zaw Moe Lwin	ဒုဗိုလ်မှူးကြီးဇော်မိုးလွင်					Military	Male	Bamar	Buddhism	3-Nov-70		First Amyotha Hluttaw	2010	2015
UPMP-01-0194	Lt. Colonel Zaw Moe	ဒုဗိုလ်မှူးကြီးဇော်မိုး					Military	Male	Bamar	Buddhism	4-Apr-66		First Amyotha Hluttaw	2010	2015
UPMP-01-0195	Lt. Colonel Than Kyaw Soe	ဒုဗိုလ်မှူးကြီးသန်းကျော်စိုး					Military	Male	Bamar	Buddhism	25-Mar-66		First Amyotha Hluttaw	2010	2015
UPMP-01-0196	Lt. Colonel Tun Linn Aung	ဒုဗိုလ်မှူးကြီးထွန်းလင်းအောင်					Military	Male	Bamar	Buddhism	1-Jun-63		First Amyotha Hluttaw	2010	2015
UPMP-01-0197	Lt. Colonel Sann Win	ဒုဗိုလ်မှူးကြီးဆန်းဝင်း					Military	Male	Bamar	Buddhism	17-Jan-62		First Amyotha Hluttaw	2010	2013
UPMP-01-0198	Lt. Colonel Myo Thit Oo	ဒုဗိုလ်မှူးကြီးမျိုးသစ်ဦး					Military	Male					First Amyotha Hluttaw	2013	2015
UPMP-01-0199	Major Zawana	ဗိုလ်မှူးဇဝန					Military	Male	Bamar	Buddhism	29-Dec-70		First Amyotha Hluttaw	2010	2015
UPMP-01-0200	Major Aye Tun	ဗိုလ်မှူးအေးထွန်း					Military	Male	Bamar	Buddhism	25-Jun-69		First Amyotha Hluttaw	2010	2015
UPMP-01-0201	Major Min Ye Htwe	ဗိုလ်မှူးမင်းရဲထွေး					Military	Male	Bamar	Buddhism	25-Mar-70		First Amyotha Hluttaw	2010	2015
UPMP-01-0202	Major Win Kyaw Kyaw	ဗိုလ်မှူးဝင်းကျော်ကျော်					Military	Male	Bamar	Buddhism	30-Jun-76		First Amyotha Hluttaw	2010	2015
UPMP-01-0203	Major Thein Bo Bo Htwe	ဗိုလ်မှူးသိန်းဘိုဘိုထွေး					Military	Male	Rakhine	Buddhism	28-Dec-79		First Amyotha Hluttaw	2010	2015
UPMP-01-0204	Major Aung Naing Oo (a) Kyaw Kyaw	ဗိုလ်မှူးအောင်နိုင်ဦး (ခ) ကျော်ကျော်					Military	Male	Bamar	Buddhism	9-Jun-69		First Amyotha Hluttaw	2010	2015
UPMP-01-0205	Major Kyaw Nu Maw	ဗိုလ်မှူးကျော်နုမော်					Military	Male	Rakhine	Buddhism	31-Jan-72		First Amyotha Hluttaw	2010	2015
UPMP-01-0206	Major Aung Htwe	ဗိုလ်မှူးအောင်ထွေး					Military	Male	Bamar	Buddhism	27-Apr-72		First Amyotha Hluttaw	2010	2013
UPMP-01-0207	Major Tin Maung Win	ဗိုလ်မှူးတင်မောင်ဝင်း					Military	Male	Bamar	Buddhism	10-Jul-76		First Amyotha Hluttaw	2010	2015
UPMP-01-0208	Major Zaw Min Oo	ဗိုလ်မှူးဇော်မင်းဦး					Military	Male	Bamar	Buddhism	10-Mar-70		First Amyotha Hluttaw	2010	2015
UPMP-01-0209	Major Zaw Nay Lin	ဗိုလ်မှူးဇော်နေလင်း					Military	Male	Bamar	Buddhism	20-Apr-77		First Amyotha Hluttaw	2010	2015
UPMP-01-0210	Major Nay Myo Kyaw	ဗိုလ်မှူးနေမျိုးကျော်					Military	Male	Bamar	Buddhism	20-Jun-75		First Amyotha Hluttaw	2010	2015
UPMP-01-0211	Major Kyaw Thu	ဗိုလ်မှူးကျော်သူ					Military	Male	Bamar	Buddhism	3-Feb-69		First Amyotha Hluttaw	2010	2015
UPMP-01-0212	Major Win Thein	ဗိုလ်မှူးဝင်းသိန်း					Military	Male	Bamar	Buddhism	20-Jun-69		First Amyotha Hluttaw	2010	2015
UPMP-01-0213	Major Aung Myint Han	ဗိုလ်မှူးအောင်မြင့်ဟန်					Military	Male	Bamar	Buddhism	6-Jun-65		First Amyotha Hluttaw	2010	2015
UPMP-01-0214	Major Aung Kyaw Zaw	ဗိုလ်မှူးအောင်ကျော်ဇော					Military	Male	Bamar	Buddhism	21-Apr-72		First Amyotha Hluttaw	2010	2015
UPMP-01-0215	Major Zaw Khin Htut	ဗိုလ်မှူးဇော်ခင်ထွဋ်					Military	Male	Bamar	Buddhism	15-Jun-67		First Amyotha Hluttaw	2010	2015
UPMP-01-0216	Major Naing Naing Win	ဗိုလ်မှူးနိုင်နိုင်ဝင်း					Military	Male	Bamar	Buddhism	7-Mar-71		First Amyotha Hluttaw	2010	2015
UPMP-01-0217	Major Aung Naing Oo	ဗိုလ်မှူးအောင်နိုင်ဦး					Military	Male	Bamar	Buddhism	22-Sep-68		First Amyotha Hluttaw	2010	2015
UPMP-01-0218	Major Myint Soe	ဗိုလ်မှူးမြင့်စိုး					Military	Male	Bamar	Buddhism	20-Jun-69		First Amyotha Hluttaw	2010	2015
UPMP-01-0219	Major Myint Sein	ဗိုလ်မှူးမြင့်စိန်					Military	Male	Bamar	Buddhism	19-Oct-67		First Amyotha Hluttaw	2010	2015
UPMP-01-0220	Major Nay Aung Oo	ဗိုလ်မှူးနေအောင်ဦး					Military	Male	Bamar	Buddhism	21-Jan-79		First Amyotha Hluttaw	2010	2015
UPMP-01-0221	Major Toe Min Tun	ဗိုလ်မှူးတိုးမင်းထွန်း					Military	Male	Bamar	Buddhism	19-Feb-66		First Amyotha Hluttaw	2010	2015
UPMP-01-0222	Major Myo Tun Aung	ဗိုလ်မှူးမျိုးထွန်းအောင်					Military	Male	Bamar	Buddhism	2-Mar-71		First Amyotha Hluttaw	2010	2015
UPMP-01-0223	Major Aung Naing Oo	ဗိုလ်မှူးအောင်နိုင်ဦး					Military	Male	Bamar	Buddhism	16-Jan-77		First Amyotha Hluttaw	2010	2015
UPMP-01-0224	Major Zaw Myint	ဗိုလ်မှူးဇော်မြင့်					Military	Male	Bamar	Buddhism	9-Feb-65		First Amyotha Hluttaw	2010	2015
UPMP-01-0225	Major Win Myint Tun	ဗိုလ်မှူးဝင်းမြင့်ထွန်း					Military	Male	Kayah	Buddhism	4-Apr-76		First Amyotha Hluttaw	2010	2015
UPMP-01-0226	Major Maung Maung Gyi	ဗိုလ်မှူးကြီး					Military	Male	Bamar	Buddhism	1-Mar-65		First Amyotha Hluttaw	2010	2015
UPMP-01-0227	Major Kyaw Naing Htay	ဗိုလ်မှူးကျော်နိုင်ဌေး					Military	Male	Bamar	Buddhism	19-Apr-76		First Amyotha Hluttaw	2010	2015
UPMP-01-0228	Major Myo Aung	ဗိုလ်မှူးမျိုးအောင်					Military	Male	Bamar	Buddhism	23-Mar-68		First Amyotha Hluttaw	2010	2015
UPMP-01-0229	Major Tin Aung Moe	ဗိုလ်မှူးတင်အောင်မိုး					Military	Male	Bamar	Buddhism	3-Apr-73		First Amyotha Hluttaw	2010	2015
UPMP-01-0230	Major Myint Naing Than	ဗိုလ်မှူးမြင့်နိုင်သန်း					Military	Male	Bamar	Buddhism	5-Apr-64		First Amyotha Hluttaw	2010	2015
UPMP-01-0231	Major Khin Maung Lwin	ဗိုလ်မှူးခင်မောင်လွင်					Military	Male	Bamar	Buddhism	23-Jan-67		First Amyotha Hluttaw	2010	2015
