state_or_region,constituency_number,constituency_name,ward_village_number,ward_village
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,46,အိန္ဒုကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,47,ကော့စိန်ဘန်(အထက်) ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,48,ရွှေတောကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,49,ဇာသပြင်(အရှေ့) ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,1,ဘားအံမြို့နယ်,50,ကော့လမုကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,1,သရက်တော
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,0,မြိုင်သဇင်ကြာအင်းရပ်ကွက်(ဘားအံမြို့)
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,2,ဈေးတန်း ရပ်ကွက်(ဘားအံမြို့)
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,3,အောင်နန်းမင်္ဂလာရပ်ကွက်(ဘားအံမြို့)
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,4,ရတနာဒီပရပ်ကွက်(ဘားအံမြို့)
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,5,ကော့သံခါကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,6,ကော့ကျိုက်(ဖအွံ)ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,7,ကော့ဂွန်း(ဖဲကတာ) ကျေးရွာ အုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,8,ကော့ဂွန်း(ဘားကပ်)ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,9,ကော့ရင်း(အောက်) ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,10,ကော့ထော်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,11,ကျောက်တလုံး ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,12,ခဲတောက်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,13,ဆင်ကျုံးကျေးရွာ အုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,14,ကုလားစုကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,15,ထုံးအိုင်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,16,နောင်ထလုံးကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,17,နှစ်ခြားကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,18,နောင်ကျန်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,19,ပန်းကုန်းကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,20,ဖဲကတာကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,21,ဖအွံကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,22,ဘားကပ် ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,23,မိဇံကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,24,ကော့ကူးကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,25,မိကရင်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,26,မုက္ကဒိကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,27,မြိုင်ကလေးကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,28,မှိုင်းကံကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,29,ရသေ့ပျံကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,30,ရေကျော်ကျေးရွာအုပ်စု
ကရင်ပြည်နယ်,2,ဘားအံမြို့နယ်,31,မင်းဇီ ကျေးရွာအုပ်စု
