constituency_number,constituency_name,ward_village_number,ward_village
5,တနင်္သာရီတိုင်းဒေသကြီး,4,ရေပုန်းရပ်ကွက် (မြိတ်မြို့)
5,တနင်္သာရီတိုင်းဒေသကြီး,5,ကန်ဖျားရပ်ကွက် (မြိတ်မြို့)
5,တနင်္သာရီတိုင်းဒေသကြီး,6,အလယ်ကျွန်းရပ်ကွက် (မြိတ်မြို့)
5,တနင်္သာရီတိုင်းဒေသကြီး,7,ကလွင်ကျေးရွာ အုပ်စု
5,တနင်္သာရီတိုင်းဒေသကြီး,8,စန္ဒဝတ်ကျေးရွာ အုပ်စု
5,တနင်္သာရီတိုင်းဒေသကြီး,9,အလယ်ချောင်းကျေးရွာ အုပ်စု
5,တနင်္သာရီတိုင်းဒေသကြီး,10,ပင်းအိုကျေးရွာအုပ်စု
5,တနင်္သာရီတိုင်းဒေသကြီး,11,သဘွတ်ကျေးရွာအုပ်စု
5,တနင်္သာရီတိုင်းဒေသကြီး,12,သမုတ်ကျေးရွာအုပ်စု
5,တနင်္သာရီတိုင်းဒေသကြီး,13,သစ်ယာဝကျေးရွာအုပ်စု
5,တနင်္သာရီတိုင်းဒေသကြီး,14,ပဆွပ်ကျေးရွာအုပ်စု
5,တနင်္သာရီတိုင်းဒေသကြီး,15,ပပြင်ကျေးရွာအုပ်စု
5,တနင်္သာရီတိုင်းဒေသကြီး,16,ကျောက်ဖျာ ကျေးရွာအုပ်စု
6,တနင်္သာရီတိုင်းဒေသကြီး,1,မြိတ်မြို့နယ်အတွင်းရှိ  နောက်လယ်ရပ်ကွက် (မြိတ်မြို့)
6,တနင်္သာရီတိုင်းဒေသကြီး,2,တလိုင်းစုရပ်ကွက် (မြိတ်မြို့)
6,တနင်္သာရီတိုင်းဒေသကြီး,3,ဆိပ်ငယ်ရပ်ကွက် (မြိတ် မြို့)
6,တနင်္သာရီတိုင်းဒေသကြီး,4,ထားဝယ်စုရပ်ကွက် (မြိတ်မြို့)
6,တနင်္သာရီတိုင်းဒေသကြီး,5,ကံကြီးရပ်ကွက် (မြိတ်မြို့)
6,တနင်္သာရီတိုင်းဒေသကြီး,6,မြိတ်တောင်ရပ်ကွက် (မြိတ်မြို့)
6,တနင်္သာရီတိုင်းဒေသကြီး,7,မြိတ်တောင်ကျေးရွာ အုပ်စု
6,တနင်္သာရီတိုင်းဒေသကြီး,8,အင်္ဂမော် ကျေးရွာ အုပ်စု
6,တနင်္သာရီတိုင်းဒေသကြီး,9,ပြင်းငယ် ကျေးရွာ အုပ်စု
6,တနင်္သာရီတိုင်းဒေသကြီး,10,ကဟန်း ကျေးရွာ အုပ်စု
6,တနင်္သာရီတိုင်းဒေသကြီး,11,စလွန်း ကျေးရွာ အုပ်စု
6,တနင်္သာရီတိုင်းဒေသကြီး,12,မင်းသန်း ကျေးရွာ အုပ်စု
6,တနင်္သာရီတိုင်းဒေသကြီး,13,ပသောင်း ကျေးရွာ အုပ်စု
6,တနင်္သာရီတိုင်းဒေသကြီး,14,မဇော ကျေးရွာ အုပ်စု
6,တနင်္သာရီတိုင်းဒေသကြီး,15,တုံးဗျော ကျေးရွာ အုပ်စု
6,တနင်္သာရီတိုင်းဒေသကြီး,16,တောင်းရှည် ကျေးရွာ အုပ်စု
6,တနင်္သာရီတိုင်းဒေသကြီး,17,တညက် (ကုလား)ကျေးရွာအုပ်စု
6,တနင်္သာရီတိုင်းဒေသကြီး,18,တညက်(ကရင်) ကျေးရွာ အုပ်စု
7,တနင်္သာရီတိုင်းဒေသကြီး,1,ကျွန်းစုမြို့နယ်အတွင်းရှိ  အမှတ် (1) ရပ်ကွက် (ကျွန်းစုမြို့)
7,တနင်္သာရီတိုင်းဒေသကြီး,2,အမှတ် (2) ရပ်ကွက် (ကျွန်းစုမြို့)
7,တနင်္သာရီတိုင်းဒေသကြီး,3,အမှတ် (3) ရပ်ကွက် (ကျွန်းစုမြို့)
7,တနင်္သာရီတိုင်းဒေသကြီး,4,အမှတ် (4) ရပ်ကွက် (ကျွန်းစုမြို့)
7,တနင်္သာရီတိုင်းဒေသကြီး,5,ကတ္တ လူ ကျေးရွာ အုပ်စု
7,တနင်္သာရီတိုင်းဒေသကြီး,6,ကပ ကျေးရွာ အုပ်စု
7,တနင်္သာရီတိုင်းဒေသကြီး,7,ရေမြစ်ကြီး ကျေးရွာ အုပ်စု
7,တနင်္သာရီတိုင်းဒေသကြီး,8,ကမ်းကြီးကျေးရွာ အုပ်စု
7,တနင်္သာရီတိုင်းဒေသကြီး,9,ဝါရစ်ကျေးရွာ အုပ်စု
7,တနင်္သာရီတိုင်းဒေသကြီး,10,မင်းဂုတ် ကျေးရွာ အုပ်စု
7,တနင်္သာရီတိုင်းဒေသကြီး,11,မောင်းလှော်ကျေးရွာ အုပ်စု
7,တနင်္သာရီတိုင်းဒေသကြီး,12,ဇေးကမိ ကျေးရွာ အုပ်စု
7,တနင်္သာရီတိုင်းဒေသကြီး,13,ညောင်ဘီးကျေးရွာ အုပ်စု
7,တနင်္သာရီတိုင်းဒေသကြီး,14,ကျွဲခရံ ကျေးရွာ အုပ်စု
7,တနင်္သာရီတိုင်းဒေသကြီး,15,သန္တုတ် ကျေးရွာ အုပ်စု
7,တနင်္သာရီတိုင်းဒေသကြီး,16,တောပြား ကျေးရွာ အုပ်စု
8,တနင်္သာရီတိုင်းဒေသကြီး,1,ကျွန်းစုမြို့နယ်အတွင်းရှိ  ကံမော် ကျေးရွာ အုပ်စု
8,တနင်္သာရီတိုင်းဒေသကြီး,2,စခန်း သစ် ကျေးရွာ အုပ်စု
8,တနင်္သာရီတိုင်းဒေသကြီး,3,ရေကန်တောင် ကျေးရွာ အုပ်စု
8,တနင်္သာရီတိုင်းဒေသကြီး,4,ကဘင် ကျေးရွာ အုပ်စု
8,တနင်္သာရီတိုင်းဒေသကြီး,5,ကော်ဇယာ ကျေးရွာ အုပ်စု
8,တနင်္သာရီတိုင်းဒေသကြီး,6,မဲတော ကျေးရွာ အုပ်စု
8,တနင်္သာရီတိုင်းဒေသကြီး,7,ဘန္ဒနဲ ကျေးရွာ အုပ်စု
8,တနင်္သာရီတိုင်းဒေသကြီး,8,မအိုင် ကျေးရွာ အုပ်စု
9,တနင်္သာရီတိုင်းဒေသကြီး,0,ပုလောမြို့နယ် တစ်ခုလုံး
10,တနင်္သာရီတိုင်းဒေသကြီး,0,တနင်္သာရီမြို့နယ် တစ်ခုလုံး
11,တနင်္သာရီတိုင်းဒေသကြီး,0,ကော့သောင်းမြို့နယ် တစ်ခုလုံး
12,တနင်္သာရီတိုင်းဒေသကြီး,0,ဘုတ်ပြင်းမြို့နယ် တစ်ခုလုံး
1,ပဲခူးတိုင်းဒေသကြီး,0,ပဲခူးမြို့နယ်တစ်ခုလုံး
2,ပဲခူးတိုင်းဒေသကြီး,0,သနပ်ပင်မြို့နယ်
2,ပဲခူးတိုင်းဒေသကြီး,0,ကဝမြို့နယ်
3,ပဲခူးတိုင်းဒေသကြီး,0,ဝေါမြို့နယ်
3,ပဲခူးတိုင်းဒေသကြီး,0,ဒိုက်ဦးမြို့နယ်
3,ပဲခူးတိုင်းဒေသကြီး,0,ရွှေကျင်မြို့နယ်
4,ပဲခူးတိုင်းဒေသကြီး,0,ညောင်လေးပင်မြို့နယ်
4,ပဲခူးတိုင်းဒေသကြီး,0,ကျောက်တံခါးမြို့နယ်
5,ပဲခူးတိုင်းဒေသကြီး,0,တောင်ငူမြို့နယ်
5,ပဲခူးတိုင်းဒေသကြီး,0,ရေတာရှည်မြို့နယ်
6,ပဲခူးတိုင်းဒေသကြီး,0,အုတ်တွင်းမြို့နယ်
6,ပဲခူးတိုင်းဒေသကြီး,0,ထန်းတပင်မြို့နယ်
7,ပဲခူးတိုင်းဒေသကြီး,0,ကျောက်ကြီးမြို့နယ်
7,ပဲခူးတိုင်းဒေသကြီး,0,ဖြူးမြို့နယ်
8,ပဲခူးတိုင်းဒေသကြီး,0,ပြည်မြို့နယ်
8,ပဲခူးတိုင်းဒေသကြီး,0,ပေါက်ခေါင်းမြို့နယ်
8,ပဲခူးတိုင်းဒေသကြီး,0,ပန်းတောင်းမြို့နယ်
9,ပဲခူးတိုင်းဒေသကြီး,0,ပေါင်းတည်မြို့နယ်
9,ပဲခူးတိုင်းဒေသကြီး,0,သဲကုန်းမြို့နယ်
9,ပဲခူးတိုင်းဒေသကြီး,0,ရွှေတောင်မြို့နယ်
10,ပဲခူးတိုင်းဒေသကြီး,0,သာယာဝတီမြို့နယ်
10,ပဲခူးတိုင်းဒေသကြီး,0,လက်ပံတန်းမြို့နယ်
11,ပဲခူးတိုင်းဒေသကြီး,0,မင်းလှမြို့နယ်
11,ပဲခူးတိုင်းဒေသကြီး,0,အုတ်ဖိုမြို့နယ်
11,ပဲခူးတိုင်းဒေသကြီး,0,မိုးညိုမြို့နယ်
12,ပဲခူးတိုင်းဒေသကြီး,0,ဇီးကုန်းမြို့နယ်
12,ပဲခူးတိုင်းဒေသကြီး,0,နတ်တလင်းမြို့နယ်
12,ပဲခူးတိုင်းဒေသကြီး,0,ကြို့ပင်ကောက် မြို့နယ်
1,မကွေးတိုင်းဒေသကြီး,0,မကွေးမြို့နယ်တစ်ခုလုံး
2,မကွေးတိုင်းဒေသကြီး,0,ရေနံချောင်းမြို့နယ်နှင့် ချောက်မြို့နယ်
3,မကွေးတိုင်းဒေသကြီး,0,နတ်မောက်မြို့နယ်
3,မကွေးတိုင်းဒေသကြီး,0,မြို့သစ်မြို့နယ်
4,မကွေးတိုင်းဒေသကြီး,0,တောင်တွင်းကြီးမြို့နယ် တစ်ခုလုံး
5,မကွေးတိုင်းဒေသကြီး,0,မင်းဘူးမြို့နယ်
5,မကွေးတိုင်းဒေသကြီး,0,ပွင့်ဖြူမြို့နယ်
6,မကွေးတိုင်းဒေသကြီး,0,စလင်းမြို့နယ်
6,မကွေးတိုင်းဒေသကြီး,0,စေတုတ္တရာမြို့နယ်
6,မကွေးတိုင်းဒေသကြီး,0,ငဖဲမြို့နယ်
7,မကွေးတိုင်းဒေသကြီး,0,သရက်မြို့နယ်
7,မကွေးတိုင်းဒေသကြီး,0,ကံမမြို့နယ်
7,မကွေးတိုင်းဒေသကြီး,0,မင်းတုန်းမြို့နယ်
7,မကွေးတိုင်းဒေသကြီး,0, မင်းလှ မြို့နယ်
8,မကွေးတိုင်းဒေသကြီး,0,အောင်လံမြို့နယ်
8,မကွေးတိုင်းဒေသကြီး,0,ဆင်ပေါင်ဝဲမြို့နယ်
9,မကွေးတိုင်းဒေသကြီး,0,ပခုက္ကူမြို့နယ်
9,မကွေးတိုင်းဒေသကြီး,0,ဆိပ်ဖြူမြို့နယ်
10,မကွေးတိုင်းဒေသကြီး,0,ရေစကြိုမြို့နယ် တစ်ခုလုံး
11,မကွေးတိုင်းဒေသကြီး,0,မြိုင်မြို့နယ်
11,မကွေးတိုင်းဒေသကြီး,0,ပေါက်မြို့နယ်
12,မကွေးတိုင်းဒေသကြီး,0,ဂန့်ဂေါခရိုင်တစ်ခုလုံး
1,မန္တလေးတိုင်းဒေသကြီး,0,အောင်မြေသာစံမြို့နယ်
1,မန္တလေးတိုင်းဒေသကြီး,0,ချမ်းအေးသာစံမြို့နယ်
1,မန္တလေးတိုင်းဒေသကြီး,0,ပုသိမ်ကြီး မြို့နယ်
2,မန္တလေးတိုင်းဒေသကြီး,0,ချမ်းမြသာစည်မြို့နယ်
2,မန္တလေးတိုင်းဒေသကြီး,0,ပြည်ကြီးတံခွန်မြို့နယ်
2,မန္တလေးတိုင်းဒေသကြီး,0,မဟာအောင်မြေ မြို့နယ်
2,မန္တလေးတိုင်းဒေသကြီး,0,အမရပူရမြို့နယ်
3,မန္တလေးတိုင်းဒေသကြီး,0,ပြင်ဦးလွင်ခရိုင်တစ်ခုလုံး
4,မန္တလေးတိုင်းဒေသကြီး,0,ကျောက်ဆည်ခရိုင်တစ်ခုလုံး
5,မန္တလေးတိုင်းဒေသကြီး,0,မြင်းခြံမြို့နယ်
5,မန္တလေးတိုင်းဒေသကြီး,0,ငါန်းဇွန်မြို့နယ်
6,မန္တလေးတိုင်းဒေသကြီး,0,နွားထိုးကြီးမြို့နယ်
6,မန္တလေးတိုင်းဒေသကြီး,0,တောင်သာမြို့နယ်
7,မန္တလေးတိုင်းဒေသကြီး,0,ညောင်ဦးခရိုင်တစ်ခုလုံး
8,မန္တလေးတိုင်းဒေသကြီး,0,ရမည်းသင်းခရိုင်တစ်ခုလုံး
9,မန္တလေးတိုင်းဒေသကြီး,0,ဥတ္တရ(မြောက်ပိုင်း)ခရိုင်တစ်ခုလုံး
10,မန္တလေးတိုင်းဒေသကြီး,0,ဒက္ခိဏ(တောင်ပိုင်း)ခရိုင်တစ်ခုလုံး
11,မန္တလေးတိုင်းဒေသကြီး,0,မိတ္ထီလာမြို့နယ်
11,မန္တလေးတိုင်းဒေသကြီး,0,မလှိုင်မြို့နယ်
12,မန္တလေးတိုင်းဒေသကြီး,0,သာစည်မြို့နယ်
12,မန္တလေးတိုင်းဒေသကြီး,0,ဝမ်းတွင်းမြို့နယ်
1,မွန်ပြည်နယ်,1,မော်လမြိုင်မြို့နယ် အတွင်းရှိ  ပန်းဘဲတန်းရပ်ကွက် (မော်လမြိုင်မြို့)
1,မွန်ပြည်နယ်,2,မရမ်းကုန်း ရပ်ကွက် (မော်လမြိုင်မြို့)
1,မွန်ပြည်နယ်,3,စစ်ကဲကုန်း ရပ်ကွက် (မော်လမြိုင်မြို့)
1,မွန်ပြည်နယ်,4,ရွှေတောင် ရပ်ကွက်(မော်လမြိုင်မြို့)
1,မွန်ပြည်နယ်,5,ဖက်တန်းရပ်ကွက် (မော်လမြိုင် မြို့)
1,မွန်ပြည်နယ်,6,မန္တလေး ရပ်ကွက် (မော်လမြိုင်မြို့)
1,မွန်ပြည်နယ်,7,အောက်ကျင်း ရပ်ကွက် (မော်လမြိုင်မြို့)
1,မွန်ပြည်နယ်,8,ကျိုက်ဖနဲရပ်ကွက် (မော်လမြိုင် မြို့)
1,မွန်ပြည်နယ်,9,လှိုင်ရှမ်းစုရပ်ကွက်(မော်လမြိုင်မြို့)
1,မွန်ပြည်နယ်,10,သာယာအေး ရပ်ကွက် (မော်လမြိုင်မြို့)
1,မွန်ပြည်နယ်,11,ဇေယျာသီရိ ရပ်ကွက် (မော်လမြိုင်မြို့)
1,မွန်ပြည်နယ်,12,ရွှေမြိုင်သီရီ ရပ်ကွက် (မော်လမြိုင်မြို့)
1,မွန်ပြည်နယ်,13,ဘိုကုန်း ရပ်ကွက် (မော်လမြိုင်မြို့)
1,မွန်ပြည်နယ်,14,ကော့စိန်ကျေးရွာ အုပ်စု
1,မွန်ပြည်နယ်,15,ကော့ပေါက်ကျေးရွာ အုပ်စု
1,မွန်ပြည်နယ်,16,ကော့တွန်ကျေးရွာ အုပ်စု
1,မွန်ပြည်နယ်,17,ကော့လှာကျေးရွာ အုပ်စု
1,မွန်ပြည်နယ်,18,ကတိုးကျေးရွာ အုပ်စု
1,မွန်ပြည်နယ်,19,ကော့နှပ်ကျေးရွာ အုပ်စု
2,မွန်ပြည်နယ်,1,မော်လမြိုင်မြို့နယ်အတွင်းရှိ  မောင်ငံရပ်ကွက် (မော်လမြိုင် မြို့)
2,မွန်ပြည်နယ်,2,ကွင်းရပ်ရပ်ကွက် (မော်လမြိုင်မြို့)
2,မွန်ပြည်နယ်,3,သီရိမြိုင်ရပ်ကွက် (မော်လမြိုင်မြို့)
2,မွန်ပြည်နယ်,4,သီရိမင်္ဂလာရပ်ကွက် (မော်လမြိုင်မြို့)
2,မွန်ပြည်နယ်,5,မုပွန်ရပ်ကွက် (မော်လမြိုင်မြို့)
2,မွန်ပြည်နယ်,6,စျေးကြိုရပ်ကွက် (မော်လမြိုင်မြို့)
2,မွန်ပြည်နယ်,7,မြိုင်သာယာ ရပ်ကွက် (မော်လမြိုင်မြို့)
2,မွန်ပြည်နယ်,8,မြေနီကုန်း ရပ်ကွက် (မော်လမြိုင်မြို့)
2,မွန်ပြည်နယ်,9,ဇေယျာမြိုင် ရပ်ကွက်(မော်လမြိုင်မြို့)
2,မွန်ပြည်နယ်,10,ငန်းတေးရပ်ကွက် (မော်လမြိုင် မြို့)
2,မွန်ပြည်နယ်,11,ခြောက်မိုင်ကျွဲခြံကုန်းရပ်ကွက် (မော်လမြိုင်မြို့)
2,မွန်ပြည်နယ်,12,ကျောက်တန်းရပ်ကွက်(မော်လမြိုင်မြို့)
2,မွန်ပြည်နယ်,13,စမ်းကြီးရပ်ကွက် (မော်လမြိုင်မြို့)
2,မွန်ပြည်နယ်,14,ဂွေးကုန်းရပ်ကွက် (မော်လမြိုင်မြို့)
2,မွန်ပြည်နယ်,15,နောင်ခရီရပ်ကွက်(မော်လမြိုင်မြို့)
2,မွန်ပြည်နယ်,16,မင်းရွာကျေးရွာ အုပ်စု
2,မွန်ပြည်နယ်,17,မုရောင်းကျေးရွာအုပ်စု
2,မွန်ပြည်နယ်,18,ကော့ခနိကျေးရွာအုပ်စု
2,မွန်ပြည်နယ်,19,ကြာအင်း ကျေးရွာအုပ်စု
2,မွန်ပြည်နယ်,20,ကော့ခမယ်ကျေးရွာအုပ်စု
2,မွန်ပြည်နယ်,21,ဖားအောက် ကျေးရွာ အုပ်စု
2,မွန်ပြည်နယ်,22,ရိုးဂိုးကျေးရွာ အုပ်စု
3,မွန်ပြည်နယ်,0,ကျိုက်မရောမြို့နယ်တစ်ခုလုံး
4,မွန်ပြည်နယ်,0,ချောင်းဆုံမြို့နယ်တစ်ခုလုံး
5,မွန်ပြည်နယ်,0,သံဖြူဇရပ်မြို့နယ်တစ်ခုလုံး
6,မွန်ပြည်နယ်,0,မုဒုံမြို့နယ်တစ်ခုလုံး
7,မွန်ပြည်နယ်,1,ရေးမြို့နယ်အတွင်းရှိ  သီရိနန္ဒာရပ်ကွက်(ရေးမြို့)
7,မွန်ပြည်နယ်,2,သီရိ မာလာရပ်ကွက်(ရေးမြို့)
7,မွန်ပြည်နယ်,3,သီရိဇေယျာရပ်ကွက် (ရေးမြို့)
7,မွန်ပြည်နယ်,4,သီရိခေမာ ရပ်ကွက် (ရေးမြို့)
7,မွန်ပြည်နယ်,5,အမှတ်(1) ရပ်ကွက် (လမိုင်းမြို့)
7,မွန်ပြည်နယ်,6,အမှတ်(2)ရပ်ကွက်(လမိုင်းမြို့)
7,မွန်ပြည်နယ်,7,အမှတ်(3) ရပ်ကွက် (လမိုင်းမြို့)
7,မွန်ပြည်နယ်,8,အာယုတောင်ကျေးရွာ အုပ်စု
7,မွန်ပြည်နယ်,9,သင်္ဃန်းကျွန်းကျေးရွာအုပ်စု
7,မွန်ပြည်နယ်,10,မော့ကနင်ကျေးရွာအုပ်စု
7,မွန်ပြည်နယ်,11,ကော့ဒွတ်ကျေးရွာ အုပ်စု
7,မွန်ပြည်နယ်,12,ကုလားကုတ် ကျေးရွာ အုပ်စု
7,မွန်ပြည်နယ်,13,နှစ်ကရင်ကျေးရွာအုပ်စု
7,မွန်ပြည်နယ်,14,သောင်ပြင် ကျေးရွာ အုပ်စု
7,မွန်ပြည်နယ်,15,တောင်ဘုံကျေးရွာအုပ်စု
7,မွန်ပြည်နယ်,16,ဘေးလမိုင်း ကျေးရွာအုပ်စု
7,မွန်ပြည်နယ်,17,ဘဲလမုကျေးရွာအုပ်စု
7,မွန်ပြည်နယ်,18,ကနင်ကမော့ကျေးရွာ အုပ်စု
7,မွန်ပြည်နယ်,19,ဒုံဖီ ကျေးရွာ အုပ်စု
7,မွန်ပြည်နယ်,20,နှင်းစုံ  ကျေးရွာ အုပ်စု
7,မွန်ပြည်နယ်,21,တူးမြောင်းကျေးရွာအုပ်စု
7,မွန်ပြည်နယ်,22,အံဒင်ကျေးရွာအုပ်စု
8,မွန်ပြည်နယ်,1,ရေးမြို့နယ်အတွင်းရှိ  ရန်ကြီးအောင် ရပ်ကွက် (ရေးမြို့)
8,မွန်ပြည်နယ်,2,ရန်မျိုးအောင်ရပ်ကွက် (ရေးမြို့)
8,မွန်ပြည်နယ်,3,အောင်သုခရပ်ကွက် (ရေးမြို့)
8,မွန်ပြည်နယ်,4,အောင်မင်္ဂလာရပ်ကွက်(ရေးမြို့)
8,မွန်ပြည်နယ်,5,အောင် မေတ္တာ ရပ်ကွက် (ရေးမြို့)
8,မွန်ပြည်နယ်,6,အမှတ်(1) ရပ်ကွက် (ခေါဇာမြို)
8,မွန်ပြည်နယ်,7,အမှတ်(2) ရပ်ကွက် (ခေါဇာမြို့)
8,မွန်ပြည်နယ်,8,အဘော်ကျေးရွာ အုပ်စု
8,မွန်ပြည်နယ်,9,ဒူးယားကျေးရွာ အုပ်စု
8,မွန်ပြည်နယ်,10,အစင်ကျေးရွာ အုပ်စု
8,မွန်ပြည်နယ်,11,ဇီးဖြူသောင်ကျေးရွာ အုပ်စု
8,မွန်ပြည်နယ်,12,ချောင်းတောင်ကျေးရွာ အုပ်စု
8,မွန်ပြည်နယ်,13,ကျောက်မိကျောင်းကျေးရွာအုပ်စု
8,မွန်ပြည်နယ်,14,ကျောင်းရွာ ကျေးရွာ အုပ်စု
8,မွန်ပြည်နယ်,15,ကလော့ကျေးရွာ အုပ်စု
8,မွန်ပြည်နယ်,16,ဟံဂံ ကျေးရွာ အုပ်စု
8,မွန်ပြည်နယ်,17,ရင်းရယ်ကျေးရွာ အုပ်စု
8,မွန်ပြည်နယ်,18,ကဗျာ ကျေးရွာ အုပ်စု
8,မွန်ပြည်နယ်,19,ကျုံညဲကျေးရွာ အုပ်စု
8,မွန်ပြည်နယ်,20,မကျီးကျေးရွာ အုပ်စု
8,မွန်ပြည်နယ်,21,ကော့လှိုင်ကျေးရွာအုပ်စု
8,မွန်ပြည်နယ်,22,ကိုးမိုင်ကျေးရွာ အုပ်စု
9,မွန်ပြည်နယ်,0,သထုံမြို့နယ်တစ်ခုလုံး
10,မွန်ပြည်နယ်,0,ပေါင်မြို့နယ်တစ်ခုလုံး
11,မွန်ပြည်နယ်,0,ကျိုက်ထိုမြို့နယ်တစ်ခုလုံး
12,မွန်ပြည်နယ်,0,ဘီးလင်းမြို့နယ်တစ်ခုလုံး
1,ရခိုင်ပြည်နယ်,0,စစ်တွေမြို့နယ်တစ်ခုလုံး
2,ရခိုင်ပြည်နယ်,0,ပေါက်တောမြို့နယ်တစ်ခုလုံး
3,ရခိုင်ပြည်နယ်,0,ရသေ့တောင်
3,ရခိုင်ပြည်နယ်,0,ပုဏ္ဏားကျွန်းမြို့နယ်
4,ရခိုင်ပြည်နယ်,0,မြောက်ဦးမြို့နယ်တစ်ခုလုံး
5,ရခိုင်ပြည်နယ်,0,ကျောက်တော်မြို့နယ်တစ်ခုလုံး
6,ရခိုင်ပြည်နယ်,0,မင်းပြားမြို့နယ်နှင့် မြေပုံမြို့နယ်
7,ရခိုင်ပြည်နယ်,1,မောင်တောမြို့နယ်အတွင်းရှိ  အမှတ်(1)ရပ်ကွက် (တောင်ပြို လက်ဝဲမြို့)
7,ရခိုင်ပြည်နယ်,2,အမှတ်(2) ရပ်ကွက် (တောင်ပြို လက်ဝဲမြို့)
7,ရခိုင်ပြည်နယ်,3,အမှတ်(3) ရပ်ကွက်(တောင်ပြိုလက်ဝဲမြို့)
7,ရခိုင်ပြည်နယ်,4,အမှတ်(4) ရပ် ကွက်(တောင်ပြိုလက်ဝဲမြို့)
7,ရခိုင်ပြည်နယ်,5,အမှတ်(5) ရပ်ကွက် (တောင်ပြိုလက်ဝဲမြို့)
7,ရခိုင်ပြည်နယ်,6,အင်တူလာကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,7,တပ် ချောင်း ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,8,ကာလာဒေးဖက်ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,9,ရဲအောင်စံရဖွေကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,10,ကြောင်နဖေ ကျေးရွာ အုပ်စု
7,ရခိုင်ပြည်နယ်,11,အောင်ဇံကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,12,လှိုင်သီကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,13,ခမောင်းဆိပ် ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,14,ငါးရန့်ချောင်း ကျေးရွာ အုပ်စု
7,ရခိုင်ပြည်နယ်,15,သစ်တုံး နားခွဆုံ ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,16,နန်းရာကိုင်း ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,17,တမန်းသားကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,18,သက်ကိုင် ညာ ကျေးရွာ အုပ်စု
7,ရခိုင်ပြည်နယ်,19,ရေနောက်ငါးသား ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,20,မြောချောင်းကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,21,မြိုမိချောင်း ကျေးရွာ အုပ်စု
7,ရခိုင်ပြည်နယ်,22,စံကားပင်ရင်းကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,23,မင်းကြီး (တူလာတူလီ) ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,24,နတ်ချောင်းကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,25,ကြိမ်ချောင်းကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,26,ပဒကားရွာသစ် ကျေးရွာ အုပ်စု
7,ရခိုင်ပြည်နယ်,27,ဝက်ကျိန်းကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,28,ဒုံးပိုက် (အောင် ဆိပ်ပြင်) ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,29,စံပယ်ကုံး ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,30,လောင်းဒုံ ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,31,ငါးစာကြူး ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,32,ကြက်ရိုးပြင်ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,33,ဒိုးတန်း ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,34,အထက်ပြူးမကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,35,ပြူးမကညင်တန်း ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,36,ကပ္ပကောင်းကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,37,မြို့သစ် ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,38,ရေမျက်တောင် ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,39,ငါးခူရ ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,40,ခြံပြင် ကျေးရွာ အုပ်စု
7,ရခိုင်ပြည်နယ်,41,ရေတွင်းကျွန်း ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,42,ရွက်ညိုတောင်ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,43,ဦးရှည် ကျကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,44,ပွင့်ဖြူချောင်း ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,45,ကျားခေါင်းတောင်ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,46,ရေခပ်ချောင်းခွဆုံ ကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,47,ဒါးကြီးဇားကျေးရွာအုပ်စု
7,ရခိုင်ပြည်နယ်,48,ငန်းချောင်း ကျေးရွာအုပ်စု
